[13:43:31:128] - [restartedMain] [DEBUG] - o.s.b.c.l.ClasspathLoggingApplicationListener - Application started with classpath: [file:/D:/study/java/our-task/java/target/classes/]
[13:43:31:206] - [restartedMain] [DEBUG] - c.w.ourtask.OurTaskApplication - Running with Spring Boot v2.3.1.RELEASE, Spring v5.2.7.RELEASE
[13:43:31:206] - [restartedMain] [DEBUG] - o.s.boot.SpringApplication - Loading source class com.water76016.ourtask.OurTaskApplication
[13:43:31:237] - [restartedMain] [DEBUG] - o.s.b.c.c.ConfigFileApplicationListener - Activated activeProfiles dev
[13:43:31:237] - [restartedMain] [DEBUG] - o.s.b.c.c.ConfigFileApplicationListener - Loaded config file 'file:/D:/study/java/our-task/java/target/classes/application.yml' (classpath:/application.yml)
[13:43:31:237] - [restartedMain] [DEBUG] - o.s.b.c.c.ConfigFileApplicationListener - Loaded config file 'file:/D:/study/java/our-task/java/target/classes/application-dev.yml' (classpath:/application-dev.yml) for profile dev
[13:43:31:237] - [restartedMain] [DEBUG] - o.s.b.d.restart.ChangeableUrls - Matching URLs for reloading : [file:/D:/study/java/our-task/java/target/classes/]
[13:43:31:237] - [restartedMain] [DEBUG] - o.s.b.d.settings.DevToolsSettings - Included patterns for restart : [/mybatis-plus-[\w-]+.jar]
[13:43:31:237] - [restartedMain] [DEBUG] - o.s.b.d.settings.DevToolsSettings - Excluded patterns for restart : [/spring-boot-actuator/(bin|build|out)/, /spring-boot-devtools/(bin|build|out)/, /spring-boot/(bin|build|out)/, /spring-boot-starter-[\w-]+/, /spring-boot-autoconfigure/(bin|build|out)/, /spring-boot-starter/(bin|build|out)/]
[13:43:31:237] - [restartedMain] [DEBUG] - o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@747b2deb
[13:43:31:253] - [restartedMain] [DEBUG] - o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
[13:43:31:284] - [restartedMain] [DEBUG] - o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
[13:43:31:346] - [restartedMain] [DEBUG] - o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\study\java\our-task\java\target\classes\com\water76016\ourtask\config\DruidConfig.class]
[13:43:31:346] - [restartedMain] [DEBUG] - o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\study\java\our-task\java\target\classes\com\water76016\ourtask\config\GlobalCorsConfig.class]
[13:43:31:362] - [restartedMain] [DEBUG] - o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\study\java\our-task\java\target\classes\com\water76016\ourtask\config\MybatisPlusConfig.class]
[13:43:31:362] - [restartedMain] [DEBUG] - o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\study\java\our-task\java\target\classes\com\water76016\ourtask\config\Swagger2Config.class]
[13:43:31:362] - [restartedMain] [DEBUG] - o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\study\java\our-task\java\target\classes\com\water76016\ourtask\config\security\SecurityConfig.class]
[13:43:31:362] - [restartedMain] [DEBUG] - o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\study\java\our-task\java\target\classes\com\water76016\ourtask\config\security\handler\MyAuthenticationFailureHandler.class]
[13:43:31:362] - [restartedMain] [DEBUG] - o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\study\java\our-task\java\target\classes\com\water76016\ourtask\config\security\handler\MyAuthenticationSuccessHandler.class]
[13:43:31:362] - [restartedMain] [DEBUG] - o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [D:\study\java\our-task\java\target\classes\com\water76016\ourtask\config\security\handler\MyMetaObjectHandler.class]
